,Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
84,85,Панчетта,4840,433,Мясо,Отвечает всем современным стандартам качества и безопасности.,1990-02-17,2008-01-07,3.21,Temporarily Unavailable
85,86,Йогурт,5710,713,Молочные продукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2002-03-01,2029-09-02,1.79,Awaiting Review
86,87,Перец болгарский,1026,706,Овощи,Прошел проверку на соответствие экологическим нормам и стандартам.,2000-04-08,2023-04-10,0.24,Returned
87,88,Мандарин,5083,941,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2004-07-13,2008-01-06,1.66,Backorder
88,89,Фенхель,5678,629,Овощи,Является важным элементом спортивного питания для восстановления после тренировок.,2021-07-06,2030-01-07,1.6,Cancelled
89,90,Ребрышки,2125,866,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",1994-08-03,1995-01-06,2.58,On Backorder
90,91,Киви,6703,13,Фрукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1997-04-07,1999-01-02,4.62,Awaiting Review
91,92,Кетчуп,2238,168,Бакалея,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2018-02-11,2024-01-09,2.52,Returned
92,93,Шаверма,749,506,Мясо,Подходит для использования в качестве замены традиционных молочных продуктов.,1997-01-06,2023-09-03,3.34,Pending
93,94,Домашние колбасы,3081,1000,Мясо,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2015-04-01,2027-01-02,2.52,On Backorder
94,95,Топинамбур,9229,464,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,1991-03-06,2005-11-04,0.38,Awaiting Payment
95,96,Рулька,6266,53,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1998-04-05,2012-01-06,1.66,New
96,97,Каша из дробленой гречихи,3111,982,Бакалея,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2013-01-06,2025-06-01,1.38,Sold
97,98,Яблоко,1917,998,Фрукты,Служит основой для создания множества кулинарных шедевров.,1996-02-01,2012-02-07,0.63,Pending
98,99,Евпатория,448,581,Напитки,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2002-01-03,2005-04-01,4.54,Pending
99,100,Помидор,8875,291,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2016-01-15,2028-01-27,1.62,Awaiting Review
100,101,Каша из кускуса,8361,350,Бакалея,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1992-05-02,2008-04-15,3.08,Out of Stock
101,102,Виноград,2667,221,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,2019-05-03,2026-03-01,3.62,Awaiting Payment
102,103,Подносы,7378,214,Товары для дома,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2022-02-04,2023-01-07,2.61,Awaiting Payment
103,104,Рамбутан,620,541,Фрукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2020-02-19,2028-06-05,0.6,Refunded
104,105,Эндивий,7902,975,Овощи,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2013-01-06,2016-01-18,2.55,Cancelled
105,106,Карамбола,4712,188,Фрукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2013-11-12,2026-03-10,2.38,New
106,107,Пакеты для Дня независимости,3652,358,Товары для дома,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2018-05-01,2021-01-04,2.98,Backorder
107,108,Бастурма,1748,914,Мясо,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1993-09-08,2030-02-04,0.73,In Stock
108,109,Карамбола,5175,667,Фрукты,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2009-04-01,2024-03-02,4.91,Shipping
109,110,Гранат,3800,673,Фрукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1991-03-08,2007-01-23,2.96,Awaiting Review
110,111,Лимон,8626,988,Фрукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2003-06-04,2004-01-18,4.54,In Stock
111,112,Груша,3471,784,Фрукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1996-01-02,2023-02-14,0.98,Available for Pickup
112,113,Брокколи,7893,198,Овощи,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1991-04-01,2010-06-03,1.61,New
113,114,Пакеты для Дня матери,2929,448,Товары для дома,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2014-05-11,2022-01-02,1.83,In Stock
114,115,Каша из дробленой перловки,1456,641,Бакалея,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1992-01-11,2026-01-07,4.72,New
115,116,Пакеты для садовых работ,161,339,Товары для дома,Помогает поддерживать нормальный уровень pH в организме.,1991-02-11,2011-02-04,2.19,New
116,117,Каша из дробленной гречки,3865,305,Бакалея,Может быть использован в выпечке для придания ей особой пышности и аромата.,2004-09-20,2011-02-08,0.03,Sold
117,118,Копчености,6505,919,Мясо,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2018-09-06,2021-06-01,1.21,On Backorder
118,119,Шпинат,1686,787,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2008-02-01,2014-03-04,1.94,Pending
119,120,Джем,8594,227,Бакалея,Прошел все необходимые сертификации и соответствует международным стандартам.,1995-05-12,2001-08-01,2.14,Pending
120,121,Мортаделла,9983,979,Мясо,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",1995-01-15,1998-02-09,3.23,In Stock
121,122,Лук-порей,1987,381,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2003-07-04,2025-04-13,4.45,Sold
122,123,Авокадо,9591,976,Фрукты,"Помогает улучшить состояние волос, ногтей и кожи.",1993-02-17,1994-03-06,3.89,Temporarily Unavailable
123,124,Лук-порей,5259,907,Овощи,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1996-01-19,1997-01-06,2.16,Sold
124,125,Мороженое,5570,217,Молочные продукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2017-01-12,2017-02-19,0.02,In Stock
125,126,Мыло твердое,1223,159,Товары для дома,Подходит для использования в специализированных диетах и лечебных программах.,1997-09-13,2001-07-11,1.97,Returned
126,127,Термосы,7746,152,Товары для дома,Помогает поддерживать здоровый цвет лица и упругость кожи.,2008-09-03,2014-02-01,3.94,Backorder
127,128,Помело,2557,78,Фрукты,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1990-01-01,1998-05-05,1.03,Returned
128,129,Баранина,2791,306,Мясо,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2011-01-03,2028-06-04,2.15,Cancelled
129,130,Лимон,6514,704,Фрукты,Способствует нормализации обмена веществ в организме.,2000-03-03,2014-01-14,4.68,Returned
130,131,Мороженое,7013,658,Молочные продукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2020-06-16,2027-02-02,4.24,Out of Stock
131,132,Увинская жемчужина,9009,637,Напитки,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2006-07-01,2016-01-25,2.3,Awaiting Review
132,133,Чеддер,2763,205,Молочные продукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1995-09-03,2023-03-11,3.88,Available for Pickup
133,134,Тан,1226,952,Молочные продукты,Придает блюдам особую нежность и насыщенность.,1992-09-03,2016-01-18,1.33,Sold
134,135,Персик,6980,367,Фрукты,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2001-05-22,2010-01-17,4.68,Refunded
135,136,Брюква,7327,492,Овощи,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-03-07,2019-10-01,3.01,New
136,137,Айва,7695,814,Фрукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,2021-04-11,2029-02-03,3.43,Cancelled
137,138,Цветная капуста,5957,763,Овощи,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2010-04-14,2026-03-14,2.29,Out of Stock
138,139,Укроп,3674,415,Овощи,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1995-02-22,1997-04-01,3.95,Cancelled
139,140,Черника,6093,567,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1999-02-25,2002-07-10,0.11,Pending
140,141,Нектарин,7529,978,Фрукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1994-04-05,2000-10-04,4.77,Delivered
141,142,Березовский родник,5279,993,Напитки,Является важным компонентом сбалансированного рациона питания.,2018-03-07,2026-08-08,2.52,Out of Stock
142,143,Противни,8992,745,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1999-04-04,2016-02-10,2.34,Refunded
143,144,Повидло,1181,925,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2007-02-08,2008-04-04,4.25,Sold
144,145,Бифштекс,6645,607,Мясо,Является важным компонентом рациона для поддержания гормонального баланса.,2013-08-02,2020-01-09,4.13,Refunded
145,146,Люберецкая,1378,307,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2007-05-11,2017-03-03,1.6,New
146,147,Смузи шпинатно-банановый,6379,105,Напитки,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2019-06-15,2021-01-01,0.49,Pending
