,product_id,name,price,quantity,category,description,expiration_date,rating,status
53,54,Каша из поленты,947,820,Бакалея,Помогает предотвратить дефицит витаминов и минералов в организме.,2025-01-03,4.8,Available for Pickup
55,56,Растительное масло кукурузное,8356,349,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2002-04-06,2.75,Delivered
56,57,Рулька,538,89,Мясо,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2006-01-08,3.72,Awaiting Review
57,58,Молоко,7567,379,Молочные продукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2026-02-16,1.96,Refunded
61,62,Верблюжье молоко,3764,722,Молочные продукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,2014-02-07,4.72,Sold
62,63,Форосская,5248,516,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2030-01-05,2.25,Awaiting Payment
63,64,Оленина,4895,496,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2013-10-02,0.95,Temporarily Unavailable
64,65,Клубника,2985,810,Фрукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2010-02-06,0.48,Pending
65,66,Балык,4856,995,Мясо,Помогает поддерживать нормальный уровень кислотности желудка.,2027-08-02,0.22,Shipping
66,67,Тарелки мелкие,4253,871,Товары для дома,Является важным компонентом сбалансированного рациона питания.,2012-10-02,4.53,On Backorder
67,68,Пакеты для корпоратива,5112,682,Товары для дома,Помогает поддерживать нормальный уровень сахара в крови.,1991-09-01,4.97,Returned
68,69,Окра,1307,74,Овощи,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2012-03-05,2.17,Pending
69,70,Томская,8881,902,Напитки,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2030-02-17,4.93,Backorder
70,71,Пироги с мясом,6574,700,Мясо,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2019-06-03,1.57,Awaiting Review
71,72,Щавель,8200,505,Овощи,Помогает улучшить работу мозга и повысить концентрацию внимания.,2009-08-02,1.89,Pending
72,73,Редис,6759,897,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2009-01-01,0.44,Backorder
73,74,Фейхоа,4490,911,Фрукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2022-01-06,0.22,Cancelled
74,75,Топинамбур,8882,34,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2007-05-13,3.21,Available for Pickup
75,76,Смородина,3823,284,Фрукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2027-06-01,1.3,Awaiting Review
76,77,Каша из дробленной овсянки,5135,879,Бакалея,Помогает поддерживать нормальный уровень электролитов в организме.,2024-03-01,3.38,Backorder
77,78,Газированная вода,1293,434,Напитки,Помогает укреплять стенки сосудов и улучшать кровообращение.,2024-01-02,1.35,Sold
78,79,Гауда,7932,382,Молочные продукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2025-02-04,2.98,In Stock
79,80,Лук-порей,2502,360,Овощи,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2015-02-01,1.54,Delivered
80,81,Пакеты для микроволновки,1841,255,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2011-05-12,2.23,In Stock
81,82,Гамбургеры,4001,758,Мясо,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2023-06-11,1.58,Refunded
82,83,Вода,396,333,Напитки,"Отличается длительным сроком годности, что позволяет делать запасы.",2022-01-01,1.05,Cancelled
83,84,Цукини,9307,314,Овощи,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2020-01-04,0.89,Available for Pickup
84,85,Жемчужина Байкала,4497,170,Напитки,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2029-10-07,1.9,Shipping
85,86,Масло подсолнечное,7986,737,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2023-12-06,4.16,Returned
86,87,Курт,7419,714,Молочные продукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2029-05-15,0.12,In Stock
87,88,Южно-Сахалинская,949,753,Напитки,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2028-02-07,2.38,Available for Pickup
88,89,Тверская,2637,287,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2024-02-11,0.55,Temporarily Unavailable
89,90,Балаковская,1349,485,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-02-12,0.47,Available for Pickup
90,91,Сало,8603,263,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,2004-07-11,2.11,Cancelled
91,92,Кокос,3008,737,Фрукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2001-02-05,1.57,Backorder
92,93,Апельсин,9276,694,Фрукты,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2012-06-03,2.93,Available for Pickup
93,94,Молоко,639,537,Молочные продукты,Отличается простотой в использовании и хранении.,2023-02-21,3.99,Refunded
94,95,Нектарин,3769,678,Фрукты,Помогает улучшить когнитивные функции и память.,2007-05-06,4.92,Temporarily Unavailable
95,96,Кондиционер для волос,5792,513,Товары для дома,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2012-05-11,1.9,Delivered
96,97,Горчица зерновая,8352,687,Бакалея,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2021-03-03,1.9,Temporarily Unavailable
97,98,Мармелад,2837,280,Бакалея,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2015-09-07,0.18,Out of Stock
98,99,Чувашская,6692,102,Напитки,"Подходит для использования в диетах, направленных на снижение веса.",2027-12-12,2.94,Awaiting Review
99,100,Кострец,383,401,Мясо,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2020-08-07,1.18,Available for Pickup
100,101,Кесадилья с мясом,7585,403,Мясо,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2011-09-01,0.05,Backorder
101,102,Груша,1082,486,Фрукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2030-04-01,1.69,Delivered
102,103,Пакеты для школы,1342,909,Товары для дома,Является важным элементом спортивного питания для восстановления после тренировок.,2014-05-03,4.85,On Backorder
103,104,Разрыхлитель теста,314,774,Бакалея,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2020-05-04,1.3,In Stock
104,105,Брокколи,3251,567,Овощи,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2016-04-04,2.47,Awaiting Review
105,106,Щавель,2758,231,Овощи,Помогает поддерживать здоровый цвет лица и упругость кожи.,2015-01-04,1.8,Backorder
106,107,Адыгейский сыр,8139,150,Молочные продукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2022-02-08,2.27,Backorder
107,108,Куриные бедра,3393,283,Мясо,"Богат кальцием, необходимым для укрепления костей и зубов.",2024-04-12,3.63,Temporarily Unavailable
108,109,Гауда,6515,932,Молочные продукты,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2028-05-07,4.23,Awaiting Review
109,110,Черешня,3239,743,Фрукты,Отвечает всем современным стандартам качества и безопасности.,2022-01-21,0.34,Delivered
110,111,Баклажан,8085,329,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2024-03-13,1.97,Shipping
111,112,Засоленное мясо,1574,527,Мясо,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2010-02-14,3.06,Refunded
112,113,Щавель,9102,237,Овощи,Помогает поддерживать нормальный уровень pH в организме.,2026-10-03,3.52,In Stock
113,114,Крыжовник,2160,412,Фрукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2017-04-01,5.01,Backorder
114,115,Орловская,7643,203,Напитки,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2023-06-04,0.56,Pending
115,116,Каша из дробленной манной крупы,3757,146,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2025-01-23,3.96,Refunded
116,117,Голландский сыр,7864,693,Молочные продукты,Подходит для использования в качестве замены традиционных молочных продуктов.,2019-02-19,4.76,Out of Stock
117,118,Каша из дробленной ячневой крупы,6700,632,Бакалея,"Богат кальцием, необходимым для укрепления костей и зубов.",2000-02-17,4.35,Pending
